Sat Jan 13 07:31:40 1996																
Wed Nov 15 05:51:43 1995	che80	P.C. Chen and T. Pavlidis	Image Segmentation As An Estimation Problem	cgip	1980	have	segmentation		from wu93 and che86	article		12			153--172	
Wed Nov 15 05:42:18 1995	pav90	T. Pavlidis and Y.-T. Liow	Integrating Region Growing and Edge Detection	t-pami	1990	have	segmentation-region		from ada94	article		12	3	mar	225--233	
Wed Nov 15 05:40:16 1995	mey90	F. Meyer and S. Beucher	Morphological Segmentation	jvcir	1990	want	segmentation		from ada94	article		1			21--46	
Tue Nov 14 06:18:58 1995	rus88	Russ and Russ	Improved Implementation of a Convex Segmentation Algorithm	acta-ster	1988	want	segmentation			article		7	1		33--40	
Tue Nov 14 06:16:14 1995	fre87	F. Freidlander and F. Meyer	A Sequential Algorithm for Detecting Watersheds in a Gray Level Image	acta-ster	1987	want	segmentation			article		6	3		663--668	
Tue Nov 14 06:14:07 1995	dob94	B.P. Dobrin and T. Viero and M. Gabbouj	Fast Watershed Algorithms: Analysis and Extension	SPIE Nonlinear Image Processing V	1994	have	segmentation-watershed			article		2180			209--220	
Tue Nov 14 05:49:33 1995	pav80	Theo Pavlidis and Yuh-Tay Liow	Integrating Region Growing and Edge Detection	t-pami	1990	want	segmentation-region			article		12	3	mar	225--233	
Tue Nov 14 05:33:15 1995	hor76	S.L. Horowitz and T. Pavlidis	Picture Segmentation by a Tree Traversal Algorithm	j-acm	1976	have	segmentation-region			article		23			368--388	
Fri Nov 17 05:47:04 1995	doh85	M.F. Doherty and M.T. Nogu and C.M. Bjorklund	Use of Compound Predicates in Split-and-Merge Segmentation	proc-cvpr85	1985	want	segmentation-region		from pav90	article					659--661	
Tue Nov 14 05:28:36 1995	hor74	S.L. Horowitz and T. Pavlidis	Picture Segmentation by a Directed Split and Merge Procedure	proc-ijcpr2	1974	have	segmentation-region			article	landmark			Aug	424--433	
Tue Nov 14 05:21:04 1995	vin91	L. Vincent and P. Soille	Watersheds in Digital Spaces: An Efficient Algorithm Based on Immersion Simulations	t-pami	1991	1	segmentation		from ada94	article	landmark	13			583--598	
Fri Nov 17 05:56:18 1995	che94	W.P. Cheung and C.K. Lee and K.C. Li	Multithresholding: a Neural Approach	SPIE Nonlinear Image Processing V	1994	have	thresholding, neural			article		2180			322--331	
Tue Nov 14 05:16:16 1995	ogo11	L. O'Gorman and A.C. Sanderson	The Converging Squares Algorithm: An Efficient Method for Locating Peaks in Multidimensions	t-pami	1984	have	segmentation		from ada94	article		6	3	may	280--288	
Wed Nov 15 05:49:29 1995	sil88	J.F. Silverman and D.B. Cooper	Bayesian Clustering for Unsupervised Estimation of Surface and Texture Models	t-pami	1988	want	segmentation-clustering		from wu93	article		10		jul	482--495	
Tue Nov 14 05:12:54 1995	che91	S.-Y. Chen and W.-C. Lin and C.-T. Chen	Split-and-Merge Image Segmentation Based on Localized Feature Analysis and Statistical Tests	cvgip	1991	have	segmentation-region		from che94 and ada94	article		53	5	sep	456--475	
