	Mon Apr 15 13:03:51 1996	enhance dtimage_cmp and dt1d_cmp to use arith as vehiclearithmetic constant could be deltawrite a test program for cmp
	Mon Apr 15 12:30:00 1996	work on runf:coerce runf to deliver like runmake dttrun able to test run as well as runfverify runf is faster than runmake dtimage_adj able to use runf
	Sun Apr 14 17:10:46 1996	write dtimage_clip(), especially for use in dttool/cooc.c
	Thu Apr  4 10:24:05 1996	use promotion in comparing heterogeneous types in dtimage_cmp
	Sat Mar 30 17:13:45 1996	clean up arith w.r.t. precision, use consistent promotion, write test
	Sun Mar 24 14:14:18 1996	decide what to do if param->connect is not 4 or 8 in dtlev85_total
	Mon Jan 22 08:20:42 1996	not doing isatty: dtesc94 fails in pipe with -dial none not set
	Sun Jan 14 07:29:16 1996	look for a better way to display keyboard mapping in dialog help
	Sun Jan 14 07:27:04 1996	END OF HELP line duplicated every time you hit F1 in dialog help
	Sat Dec 30 06:28:55 1995	add user argument to arg_check
	Wed Dec 20 20:34:37 1995	no ems if no paging
compile-time disable big memory	Tue Dec 19 06:35:50 1995	
optimized source/high/run.c for all but dv0	Tue Dec 19 06:35:21 1995	
make 1d have its own test directory	Tue Dec 19 06:17:34 1995	
move direct/dirent stuff out of os_futil and into dtconfig.h	Tue Dec 19 05:10:29 1995	
take out memsource.name[128]	Tue Dec 19 00:36:59 1995	
require whitespace between keyword and value	Mon Dec 18 10:42:49 1995	
determine which is better: adj_runs or adj_filldocument this somewhere	Mon Dec 18 10:30:40 1995	
	Tue Dec 26 05:44:01 1995	rectify DTIMAGE_ADJ_FLAG_8 with DTRUN_FLAG_CONNECT8
	Mon Dec 25 17:24:23 1995	same DT_WIN does not work for dtview and client both
	Mon Dec 25 17:23:42 1995	ctrl-C to client can call dtview with read error with socket read error
	Mon Dec 25 17:04:37 1995	figure out why runf is slower than runs
	Fri Nov 24 08:02:35 1995	increase table size in bpe to handle 256-byte data better
	Tue Nov 21 13:53:53 1995	cmbx10.540pkcmtt10.540pk
	Tue Nov 14 13:24:00 1995	
	Tue Nov  7 16:45:47 1995	add lut export and import to dsk_c and dsk_s1
	Tue Nov  7 16:45:22 1995	add compile-time selection whether xchg_scr is called from export
	Tue Nov  7 16:44:53 1995	find a home for dsk_s1, it doesn't really belong in source/highor in server
	Fri Nov  3 14:54:42 1995	subjugate rpc under ipc to get rid of yucky svc_run()
	Fri Nov  3 14:54:22 1995	remove win_rs.c from source/win
	Mon Oct 30 13:47:31 1995	put pid in dsk memory filenameswhat about two concurrent processes in DOS?
	Sun Oct 29 21:28:13 1995	dtlatex.sh should not barf on makeindex if there is no index
	Sun Oct 29 09:39:52 1995	dx does not get have_index if they are only in the functions
	Sun Oct 29 09:30:58 1995	make screen structure smaller
	Sun Oct 29 08:42:53 1995	reinstate ipc stuff in test/server
	Sun Oct 29 08:41:39 1995	dttxchg to test against files stored in data directory, like tiff
